"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|IT-North","BZN|FR","1160.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|CH","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|ES","BZN|FR","1950.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|CH","3000.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|ES","2000.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 12/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|BE","BZN|FR","1300.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|ES","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 13/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|BE","BZN|FR","1300.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|ES","BZN|FR","2050.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 14/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|BE","BZN|FR","1300.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|ES","BZN|FR","2050.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 15/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|BE","BZN|FR","1300.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|ES","BZN|FR","2100.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 16/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|DE-LU","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|BE","BZN|FR","1300.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|ES","BZN|FR","2100.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|ES","2400.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 17/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|CH","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|ES","BZN|FR","1950.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|CH","3000.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|ES","2000.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Friday 18/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|IT-North","BZN|FR","1160.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|BE","BZN|FR","800.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|CH","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|ES","BZN|FR","1950.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|CH","3000.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|ES","2000.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Saturday 19/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|DE-LU","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|BE","BZN|FR","1400.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|ES","BZN|FR","2100.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|ES","2200.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Sunday 20/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|BE","BZN|FR","1400.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|ES","BZN|FR","2100.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|ES","2200.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Monday 21/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|DE-LU","BZN|FR","1500.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|BE","BZN|FR","1400.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|ES","BZN|FR","1950.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|ES","2200.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Tuesday 22/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|DE-LU","BZN|FR","1500.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|BE","BZN|FR","1400.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|CH","BZN|FR","1800.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|ES","BZN|FR","2050.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|IT-North","2995.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|BE","2300.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|CH","3700.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|ES","2200.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|GB","2000.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|GB","BZN|FR","2000.0"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Wednesday 23/01/2019","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|IT-North","BZN|FR","995.0"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|BE","BZN|FR","1400.0"
"01/01/2019 - 01/01/2020","Thursday 24/01/2019","BZN|CH","BZN|FR","1800.0"
