"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2018 - 01/01/2019","Tuesday 16/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Tuesday 16/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 16/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|DE-LU","BZN|FR","1800.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|ES","BZN|FR","1550.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|CH","3200.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|ES","2200.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 17/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|DE-LU","BZN|FR","2500.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|ES","BZN|FR","1550.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|ES","2200.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 18/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|DE-LU","BZN|FR","1800.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|ES","BZN|FR","1550.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|ES","2200.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 19/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|CH","BZN|FR","1100.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|ES","BZN|FR","1050.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|ES","1800.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 20/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|IT-North","BZN|FR","1160.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|CH","BZN|FR","1100.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|ES","BZN|FR","1050.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|IT-North","1494.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|ES","1800.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 21/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|ES","BZN|FR","1400.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 22/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|ES","BZN|FR","1400.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 23/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|ES","BZN|FR","1400.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 24/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|ES","BZN|FR","1400.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 25/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|ES","BZN|FR","1400.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|IT-North","1695.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 26/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|CH","BZN|FR","1100.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|ES","BZN|FR","1050.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|IT-North","2801.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Saturday 27/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|IT-North","BZN|FR","1160.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|BE","BZN|FR","650.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|CH","BZN|FR","1100.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|ES","BZN|FR","1050.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|IT-North","1120.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|BE","2000.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|CH","2363.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|ES","1750.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Sunday 28/10/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 29/10/2018","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 29/10/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Monday 29/10/2018","BZN|IT-North-FR","BZN|FR","n/e"
